The Rolling Stones,"The Rolling Stones, Now",592dKHbXtiglWyt8AEet23
Bob Marley & The Wailers,Natty Dread,1d8lF3nZpEIFeEbWmAt9Ey
Fleetwood Mac,Fleetwood Mac,5VIQ3VaAoRKOEpJ0fewdvo
Willie Nelson,Red Headed Stranger,5aEtg4dxdBk4pj6SJ3hNsM
Madonna,The Immaculate Collection,5MzwGwnO9gkh0z6Nl4FF8h
The Stooges,The Stooges,3MANoCcmaHWeXSuWiO3iVo
Sly & The Family Stone,Fresh,5Mtnj5JyvyXR6ui377dBnD
Peter Gabriel,So,1bnHPO4dKK7IjvgrtVBcQh
Buffalo Springfield,Buffalo Springfield Again,7hez8jibf36E66GHpFkWz7
Quicksilver Messenger Service,Happy Trails,7d9IZA5hVMlRqkRszYt66r
Elvis Presley,From Elvis in Memphis,3ekkFrfotMsEAKc5g71GHk
The Stooges,Fun House,3FTcomSFg2zWSqWLRgBYpv
The Flying Burrito Brothers,The Gilded Palace of Sin,6VWKy5o2OcdeWa7yolazjU
Green Day,Dookie,4uG8q3GPuWHQlRbswMIRS6
Lou Reed,Transformer,5SqbMEyAt8332ISGiLX0St
R.E.M.,Murmur,4Mw9Gcu1LT7JaipXdwrq1Q
The Strokes,Is This It,2k8KgmDp9oHrmu0MIj4XDE
ACDC,Highway to Hell,10v912xgTZbjAtYfyKWJCS
Nine Inch Nails,The Downward Spiral,3nJnyDV8fwFpffo0EyHQto
Simon & Garfunkel,"Parsley, Sage, Rosemary and Thyme",1sh32o99zA04PJIUJUpEj7
Michael Jackson,Bad,3hn46RDrEmoi4XhLjgdNjZ
Bob Dylan,Modern Times,2hq3mwvkJDvCziOfSOTrh6
Cream,Wheels of Fire,0zrtTZC7yY2TOEhnbJzSb9
Prince,Dirty Mind,3Cijd5OjHeWBm97DsPHpgs
Santana,Abraxas,1CHUXwuge9A7L2KiA3vnR6
Cat Stevens,Tea for the Tillerman,25Vt8FvZBx4BsSJWEsF7sJ
Pearl Jam,Ten,5B4PYA7wNN4WdEXdIJu58a
Neil Young & Crazy Horse,Everybody Knows This Is Nowhere,70Yl2w1p00whfnC7fj94ox
Pink Floyd,Wish You Were Here,0bCAjiUamIFqKJsekOYuRw
